car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture,price_numeric,kms_numeric
Volkswagen Vento Comfortline Diesel AT,₹ 5.5 Lakh,"56,000 km",Diesel,Thane,2014,550000,56000
MG Hector Plus Sharp 1.5 Petrol Turbo DCT 6-STR,₹ 17 Lakh,"19,000 km",Petrol,Kolkata,2021,1700000,19000
Maruti Suzuki Wagon R 1.0 VXI+ (O),₹ 4.67 Lakh,"84,065 km",Petrol,Pune,2018,467000,84065
Maruti Suzuki Ertiga VXi AT,₹ 10.45 Lakh,"37,523 km",Petrol,Mumbai,2019,1045000,37523
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.06 Lakh,"64,942 km",CNG,Delhi,2017,406000,64942
Maruti Suzuki Vitara Brezza ZDi Plus,₹ 8.75 Lakh,"82,000 km",Diesel,Ahmedabad,2018,875000,82000
Hyundai i20 Magna 1.2,₹ 2.59 Lakh,"41,123 km",Petrol,Delhi,2011,259000,41123
Chevrolet Cruze LTZ AT,₹ 6.9 Lakh,"72,000 km",Diesel,Ahmedabad,2015,690000,72000
Maruti Suzuki Ritz Zxi BS-IV,₹ 3.21 Lakh,"65,247 km",Petrol,Delhi,2014,321000,65247
Honda Brio VX AT,₹ 5.75 Lakh,"56,861 km",Petrol,Ahmedabad,2017,575000,56861
Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],₹ 5.45 Lakh,"41,100 km",Petrol,Ahmedabad,2018,545000,41100
Maruti Suzuki Wagon R 1.0 VXI,₹ 2.99 Lakh,"56,932 km",Petrol,Kolkata,2014,299000,56932
Toyota Camry Hybrid,₹ 18.9 Lakh,"20,000 km",Petrol,Kolkata,2017,1890000,20000
Honda City VX CVT,₹ 14.5 Lakh,"4,275 km",Petrol,Thane,2021,1450000,4275
Hyundai Elite i20 Sportz 1.2,₹ 5.91 Lakh,"20,281 km",Petrol,Mumbai,2017,591000,20281
Maruti Suzuki Baleno Delta 1.2,₹ 5.68 Lakh,"46,310 km",Petrol,Kolkata,2019,568000,46310
Maruti Suzuki Ritz Vxi BS-IV,₹ 2.5 Lakh,"60,000 km",Petrol,Kolkata,2014,250000,60000
Tata Nexon XT [2017-2019],₹ 6.9 Lakh,"16,449 km",Petrol,Kolkata,2018,690000,16449
Jeep Compass Limited Plus Petrol AT [2018-2020],₹ 18.75 Lakh,"27,000 km",Petrol,Mumbai,2019,1875000,27000
Tata Tigor Revotron XZ,₹ 7.09 Lakh,"15,122 km",Petrol,Chennai,2021,709000,15122
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 5.69 Lakh,"5,221 km",Petrol,Bangalore,2015,569000,5221
Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],₹ 5.95 Lakh,"35,000 km",Petrol,Thane,2016,595000,35000
Toyota Corolla Altis G AT Petrol,₹ 10.25 Lakh,"67,800 km",Petrol,Pallikarnai,2015,1025000,67800
Hyundai Creta E Plus 1.6 Petrol,₹ 10.5 Lakh,"34,841 km",Petrol,Hyderabad,2018,1050000,34841
Maruti Suzuki Ciaz S 1.4 MT,₹ 7.15 Lakh,"22,217 km",Petrol,Ahmedabad,2017,715000,22217
Tata Tiago XZ Plus,₹ 6.79 Lakh,"17,817 km",Petrol,Bangalore,2020,679000,17817
Kia Seltos HTX 1.5 [2020-2021],₹ 15.45 Lakh,"13,969 km",Petrol,Bangalore,2020,1545000,13969
Hyundai i20 Asta (O) 1.2 MT,₹ 9.6 Lakh,"13,626 km",Petrol,Thane,2021,960000,13626
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.32 Lakh,"31,316 km",Petrol,Kolkata,2014,332000,31316
Maruti Suzuki Dzire VDi,₹ 7.25 Lakh,"7,050 km",Diesel,Thane,2018,725000,7050
Honda City 1.5 S MT,₹ 3.95 Lakh,"74,000 km",Petrol,Mumbai,2012,395000,74000
Hyundai Elite i20 Asta 1.2 (O) [2019-2020],₹ 8.01 Lakh,"24,737 km",Petrol,Delhi,2019,801000,24737
Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],₹ 9.45 Lakh,"29,147 km",Diesel,Hyderabad,2019,945000,29147
Hyundai Creta E Plus 1.4 CRDI,₹ 9.7 Lakh,"48,976 km",Diesel,Pune,2017,970000,48976
Hyundai Creta SX Plus 1.6  Petrol,₹ 9.25 Lakh,"39,240 km",Petrol,Thane,2017,925000,39240
Maruti Suzuki Alto 800 Lxi,₹ 2.81 Lakh,"70,153 km",Petrol,Kolkata,2018,281000,70153
Hyundai Elite i20 Magna Executive 1.2,₹ 6.75 Lakh,"16,398 km",Petrol,Thane,2019,675000,16398
Honda Amaze 1.2 S i-VTEC,₹ 3.9 Lakh,"65,636 km",Petrol,Pune,2014,390000,65636
Hyundai Elite i20 Asta 1.2 (O) [2016],₹ 5.75 Lakh,"30,000 km",Petrol,Kolkata,2017,575000,30000
Hyundai i10 Magna 1.2 Kappa2,₹ 2.45 Lakh,"26,916 km",Petrol,Thane,2012,245000,26916
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],₹ 5.4 Lakh,"34,000 km",Petrol,Thane,2019,540000,34000
Hyundai Venue SX (O) 1.5 CRDi,₹ 11.5 Lakh,"16,100 km",Diesel,Ambattur,2021,1150000,16100
Honda City SV CVT,₹ 6.5 Lakh,"36,623 km",Petrol,Thane,2015,650000,36623
Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],₹ 6.45 Lakh,"1,374 km",CNG,Mumbai,2021,645000,1374
Honda City ZX CVT Petrol,₹ 15.9 Lakh,"12,372 km",Petrol,Hyderabad,2021,1590000,12372
Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],₹ 8.5 Lakh,"10,200 km",Petrol,Kolkata,2020,850000,10200
Maruti Suzuki S-Presso VXi Plus,₹ 4.65 Lakh,"28,224 km",Petrol,Mumbai,2020,465000,28224
